date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:26:33	95/95	---M--	200	added ('OK')	text/plain	etag:%225f-62de07663cbcd%22	https://www.elanlimited.com/robots.txt		(from )
11:26:34	93444/93444	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Oct%202025%2005:56:33%20GMT	https://www.elanlimited.com/elan-emperor/	C:/Users/HP/Desktop/Landing_page/elan_landign_final/www.elanlimited.com/elan-emperor/index.html	(from )
11:26:34	5576/5576	---M--	200	added ('OK')	image/png	etag:%2215c8-62de078e41f0f%22	https://www.elanlimited.com/assets/img/favicon.png	C:/Users/HP/Desktop/Landing_page/elan_landign_final/www.elanlimited.com/assets/img/favicon.png	(from https://www.elanlimited.com/elan-emperor/)
11:26:34	26053/26053	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20Oct%202025%2019:03:06%20GMT	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/Users/HP/Desktop/Landing_page/elan_landign_final/unpkg.com/aos@2.3.1/dist/aos.css	(from https://www.elanlimited.com/elan-emperor/)
11:26:35	266/266	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Oct%202025%2005:56:34%20GMT	https://www.elanlimited.com/elan-emperor/assets/css/fontawesome.min.css	C:/Users/HP/Desktop/Landing_page/elan_landign_final/www.elanlimited.com/elan-emperor/assets/css/fontawesome.min.2.delayed	(from https://www.elanlimited.com/elan-emperor/)
11:26:35	71750/71750	---M-Z	200	added ('OK')	text/css	etag:%225f5628a2-11846%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	C:/Users/HP/Desktop/Landing_page/elan_landign_final/cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	(from https://www.elanlimited.com/elan-emperor/)
11:26:35	37414/37414	---M--	200	added ('OK')	text/css	etag:%229226-62de077eb08eb%22	https://www.elanlimited.com/elan-emperor/css/font-awesome.css	C:/Users/HP/Desktop/Landing_page/elan_landign_final/www.elanlimited.com/elan-emperor/css/font-awesome.css	(from https://www.elanlimited.com/elan-emperor/)
11:26:36	101835/101835	---M--	200	added ('OK')	text/css	etag:%2218dcb-62de07872f612%22	https://www.elanlimited.com/assets/css/fontawesome.min.css	C:/Users/HP/Desktop/Landing_page/elan_landign_final/www.elanlimited.com/assets/css/fontawesome.min.css	(from https://www.elanlimited.com/elan-emperor/)
11:26:36	144877/144877	---M--	200	added ('OK')	text/css	etag:%22235ed-62de077e9e00a%22	https://www.elanlimited.com/elan-emperor/css/bootstrap.min.css	C:/Users/HP/Desktop/Landing_page/elan_landign_final/www.elanlimited.com/elan-emperor/css/bootstrap.min.css	(from https://www.elanlimited.com/elan-emperor/)
11:26:36	13682/13682	---M--	200	added ('OK')	text/css	etag:%223572-62de077f0f48e%22	https://www.elanlimited.com/elan-emperor/css/swiper-bundle.min.css	C:/Users/HP/Desktop/Landing_page/elan_landign_final/www.elanlimited.com/elan-emperor/css/swiper-bundle.min.css	(from https://www.elanlimited.com/elan-emperor/)
11:26:37	54033/54033	---M--	200	added ('OK')	text/css	etag:%22d311-62de077f1330e%22	https://www.elanlimited.com/elan-emperor/css/style.css	C:/Users/HP/Desktop/Landing_page/elan_landign_final/www.elanlimited.com/elan-emperor/css/style.css	(from https://www.elanlimited.com/elan-emperor/)
11:26:37	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2028%20Oct%202025%2005:56:37%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/HP/Desktop/Landing_page/elan_landign_final/www.googletagmanager.com/gtm.95445.delayed	(from https://www.elanlimited.com/elan-emperor/)
11:26:37	5599/5599	---M--	200	added ('OK')	image/png	etag:%2215df-62de078bfce1b%22	https://www.elanlimited.com/assets/images/logo.png	C:/Users/HP/Desktop/Landing_page/elan_landign_final/www.elanlimited.com/assets/images/logo.png	(from https://www.elanlimited.com/elan-emperor/)
11:26:38	5211/5211	---M--	200	added ('OK')	image/png	etag:%22145b-62de078afb113%22	https://www.elanlimited.com/assets/images/elan-a-logo.png	C:/Users/HP/Desktop/Landing_page/elan_landign_final/www.elanlimited.com/assets/images/elan-a-logo.png	(from https://www.elanlimited.com/elan-emperor/)
11:26:38	4098/4098	---M--	200	added ('OK')	image/png	etag:%221002-62de079d1eabd%22	https://www.elanlimited.com/elan-emperor/images/icon/residences.png	C:/Users/HP/Desktop/Landing_page/elan_landign_final/www.elanlimited.com/elan-emperor/images/icon/residences.png	(from https://www.elanlimited.com/elan-emperor/)
11:26:39	6283/6283	---M--	200	added ('OK')	image/png	etag:%22188b-62de079cdc43b%22	https://www.elanlimited.com/elan-emperor/images/icon/club.png	C:/Users/HP/Desktop/Landing_page/elan_landign_final/www.elanlimited.com/elan-emperor/images/icon/club.png	(from https://www.elanlimited.com/elan-emperor/)
11:26:39	5340/5340	---M--	200	added ('OK')	image/png	etag:%2214dc-62de079cb0519%22	https://www.elanlimited.com/elan-emperor/images/icon/amenities.png	C:/Users/HP/Desktop/Landing_page/elan_landign_final/www.elanlimited.com/elan-emperor/images/icon/amenities.png	(from https://www.elanlimited.com/elan-emperor/)
11:26:39	4830/4830	---M--	200	added ('OK')	image/png	etag:%2212de-62de079cc5cda%22	https://www.elanlimited.com/elan-emperor/images/icon/arrival.png	C:/Users/HP/Desktop/Landing_page/elan_landign_final/www.elanlimited.com/elan-emperor/images/icon/arrival.png	(from https://www.elanlimited.com/elan-emperor/)
11:26:40	5700/5700	---M--	200	added ('OK')	image/png	etag:%221644-62de079cf2b9b%22	https://www.elanlimited.com/elan-emperor/images/icon/nature.png	C:/Users/HP/Desktop/Landing_page/elan_landign_final/www.elanlimited.com/elan-emperor/images/icon/nature.png	(from https://www.elanlimited.com/elan-emperor/)
11:26:40	4704/4704	---M--	200	added ('OK')	image/png	etag:%221260-62de079d092fc%22	https://www.elanlimited.com/elan-emperor/images/icon/recreational.png	C:/Users/HP/Desktop/Landing_page/elan_landign_final/www.elanlimited.com/elan-emperor/images/icon/recreational.png	(from https://www.elanlimited.com/elan-emperor/)
11:26:40	1033/1033	---M--	200	added ('OK')	image/png	etag:%22409-62de078312a2f%22	https://www.elanlimited.com/elan-emperor/images/hexagon.png	C:/Users/HP/Desktop/Landing_page/elan_landign_final/www.elanlimited.com/elan-emperor/images/hexagon.png	(from https://www.elanlimited.com/elan-emperor/)
11:26:41	4726/4726	---M--	200	added ('OK')	image/png	etag:%221276-62de079c4fa36%22	https://www.elanlimited.com/elan-emperor/images/consultants/SWA.png	C:/Users/HP/Desktop/Landing_page/elan_landign_final/www.elanlimited.com/elan-emperor/images/consultants/SWA.png	(from https://www.elanlimited.com/elan-emperor/)
11:26:41	4157/4157	---M--	200	added ('OK')	image/png	etag:%22103d-62de079c93ff8%22	https://www.elanlimited.com/elan-emperor/images/consultants/WET.png	C:/Users/HP/Desktop/Landing_page/elan_landign_final/www.elanlimited.com/elan-emperor/images/consultants/WET.png	(from https://www.elanlimited.com/elan-emperor/)
